web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Windows,direct,www.nysdot.gov,Grand Rapids,42.942501,-85.616096,America/New_York,1970-01-01 00:00:01.331923300,1970-01-01 00:00:01.319563556
Mozilla,Macintosh,direct,www.nysdot.gov,White Plains,41.029099,-73.758003,America/New_York,1970-01-01 00:00:01.331923302,1970-01-01 00:00:01.319563556
Mozilla,iPhone,direct,apod.nasa.gov,London,51.500198,-0.1262,Europe/London,1970-01-01 00:00:01.331923304,1970-01-01 00:00:01.301393171
Mozilla,Windows,www.facebook.com,www.nasa.gov,Rome,41.900002,12.4833,Europe/Rome,1970-01-01 00:00:01.331923303,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Columbus,40.028999,-83.080902,America/New_York,1970-01-01 00:00:01.331923304,1970-01-01 00:00:01.331905829
Mozilla,Macintosh,t.co,www.nasa.gov,Mesquite,32.7673,-96.624702,America/Chicago,1970-01-01 00:00:01.331923304,1970-01-01 00:00:01.331922854
Mozilla,Windows,stocktwits.com,www.federalreserve.gov,Farmington,41.725201,-72.829498,America/New_York,1970-01-01 00:00:01.331923305,1970-01-01 00:00:01.331893247
Mozilla,Windows,www.facebook.com,www.nasa.gov,Limeil-brnnes,48.733299,2.4833,Europe/Paris,1970-01-01 00:00:01.331923305,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.energy.ca.gov,San Francisco,37.7645,-122.429398,America/Los_Angeles,1970-01-01 00:00:01.331923309,1970-01-01 00:00:01.303843769
NokiaC3-00,Macintosh),t.co,www.nasa.gov,Durango,24.0333,-104.666702,America/Mazatlan,1970-01-01 00:00:01.331923313,1970-01-01 00:00:01.331908247
Mozilla,Windows,www.facebook.com,www.nasa.gov,Dublin,53.333099,-6.2489,Europe/Dublin,1970-01-01 00:00:01.331923315,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,toxtown.nlm.nih.gov,Kennesaw,34.010399,-84.623901,America/New_York,1970-01-01 00:00:01.331923317,1970-01-01 00:00:01.255769846
Mozilla,Windows,forum2.hkgolden.com,www.usno.navy.mil,A Po Long,22.2833,114.0,Asia/Hong_Kong,1970-01-01 00:00:01.331923317,1970-01-01 00:00:01.317318039
Mozilla,Windows,forum2.hkgolden.com,www.ssd.noaa.gov,A Po Long,22.2833,114.0,Asia/Hong_Kong,1970-01-01 00:00:01.331923317,1970-01-01 00:00:01.317318030
Mozilla,Macintosh,direct,www.nysdot.gov,White Plains,41.029099,-73.758003,America/New_York,1970-01-01 00:00:01.331923322,1970-01-01 00:00:01.319563556
Mozilla,Windows,www.facebook.com,www.nasa.gov,Jersey City,40.692501,-74.070396,America/New_York,1970-01-01 00:00:01.331923323,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Li,50.633301,5.5667,Europe/Brussels,1970-01-01 00:00:01.331923324,1970-01-01 00:00:01.331922854
